ddate,IRR,STD
1991-08-09,1366.5,0.3
1991-08-21,1364.5,0.2
1991-08-28,1366.2,0
1991-09-11,1365.8,0.3
1991-09-25,1365.9,0.4
1991-10-09,1366.5,0.1
1991-10-23,1365.4,0
1991-11-06,1365.8,0.3
1991-11-20,1366.3,0.2
1991-11-26,1365.6,0.1
1991-12-10,1364.4,0.3
1991-12-18,1366.1,0
1992-01-01,1365.6,0.4
1992-01-15,1366.2,0.3
1992-01-29,1364.8,0.2
1992-02-06,1365.7,0.2
1992-02-18,1365.9,0.4
1992-02-26,1365.1,0.3
1992-03-11,1366.2,0.1
1992-03-23,1366.3,0.2
1992-03-24,1365.8,0.3
1992-03-25,1366.2,0.1
1992-03-26,1365.6,0.2
1992-03-27,1365.8,0.4
1992-03-28,1365.2,0.2
1992-03-29,1364.6,0.2
1992-03-30,1364.2,0.2
1992-03-31,1364.9,0.3
1992-04-01,1365.4,0.2
1992-04-02,1366,0.1
1992-04-08,1365.7,0.1
1992-04-22,1365.5,0.1
1992-05-06,1365.8,0.2
1992-05-20,1366.5,0.1
1992-05-24,1365.3,0.2
1992-06-08,1365.2,0.1
1992-06-17,1365.6,0.3
1992-07-01,1365.7,0.4
1992-07-15,1365.9,0.2
1992-08-05,1365.6,0.2
1992-08-18,1364.3,0.1
1992-08-26,1366.2,0.1
1992-09-12,1365.2,0.1
1992-10-07,1365.5,0.2
1992-10-21,1364.5,0.1
1992-11-04,1365.3,0.3
1992-11-18,1365.7,0.4
1992-11-22,1365.2,0.3
1992-12-06,1365.3,0.2
1992-12-16,1365.8,0.2
1992-12-30,1365.8,0
1993-01-13,1365.3,0.3
1993-01-16,1365.8,0.3
1993-01-17,1365.6,0.2
1993-01-18,1366,0.2
1993-01-19,1365.8,0.1
1993-01-20,1365.9,0.4
1993-01-21,1365.9,0.3
1993-01-22,1365.6,0.2
1993-01-23,1365.9,0.1
1993-01-24,1366.1,0.2
1993-01-25,1365.6,0.2
1993-01-26,1365.3,0.4
1993-01-27,1365.2,0.2
1993-01-28,1365.6,0.1
1993-01-29,1365.8,0.4
1993-01-30,1365.4,0.3
1993-02-01,1365.3,0.1
1993-02-14,1365.4,0.5
1993-02-24,1365.1,0
1993-03-10,1364.8,0.5
1993-03-24,1365.7,0.3
1993-04-06,1365.7,0.2
1993-04-07,1365.1,0
1993-04-08,1365.6,0.3
1993-04-09,1365.7,0.4
1993-04-10,1365.7,0.4
1993-04-11,1365.8,0.3
1993-04-12,1365.8,0.4
1993-04-13,1365.7,0.4
1993-04-14,1365.6,0.4
1993-04-15,1365.5,0.1
1993-04-16,1365.1,0.3
1993-04-17,1365.5,0.2
1993-04-18,1365.3,0.2
1993-04-19,1365.4,0.2
1993-04-20,1365.2,0.1
1993-04-21,1365.3,0.3
1993-04-22,1365.1,0.1
1993-05-05,1366.2,0
1993-05-19,1365.4,0.3
1993-05-21,1365.5,0.2
1993-06-05,1365.2,0.5
1993-06-16,1365.3,0
1993-06-30,1366.1,0
1993-07-16,1365.6,0
1993-07-17,1366.1,0
1993-11-22,1365.4,0.3
1993-11-23,1365.4,0.3
1993-11-24,1365.4,0.1
1993-11-25,1365.2,0.1
1993-11-26,1365.3,0.3
1993-11-27,1365.4,0.3
1993-11-28,1365.6,0.2
1993-11-29,1365.9,0.3
1993-11-30,1365.9,0.3
1993-12-01,1365,0.2
1993-12-02,1365.2,0.1
1993-12-03,1365,0.3
1993-12-04,1365.3,0.1
1993-12-05,1365.2,0.1
1993-12-06,1365,0
1993-12-08,1365.3,0.5
1993-12-13,1364.9,0.3
1993-12-20,1365.8,0.2
1993-12-22,1365.8,0
1994-01-05,1365.2,0.3
1994-01-11,1365.5,0.1
1994-01-20,1365.2,0.1
1994-02-11,1364.5,0.3
1994-02-21,1365.4,0.3
1994-02-27,1366,0.4
1994-03-17,1365,0.6
1994-04-04,1364.6,0
1994-04-13,1364.7,0.4
1994-04-27,1365,0.9
1994-05-01,1364.4,0
1994-05-08,1364.9,0.1
1994-05-11,1365.3,0.3
1994-05-18,1365.2,0.1
1994-06-01,1364.7,0.2
1994-06-08,1364.5,0
1994-06-17,1365.7,0
1994-06-22,1364.8,0.4
1994-07-11,1364.5,0.3
1994-07-20,1364.8,0.3
1994-07-29,1365.1,0.4
1994-08-10,1364.5,0.2
1994-08-17,1365,0.5
1994-08-21,1364.5,0
1994-08-26,1365,0
1994-08-31,1364.5,0
1994-09-14,1365.3,0.7
1994-09-26,1364.6,0.5
1994-10-01,1365.8,0.1
1994-10-12,1365.2,0
1994-10-26,1365,0.4
1994-11-04,1365.7,0.8
1994-11-05,1365.4,0.2
1994-11-06,1365.6,0.4
1994-11-07,1365.9,0.5
1994-11-08,1364.8,0.2
1994-11-09,1365.3,0.2
1994-11-10,1365.5,0.6
1994-11-11,1365.2,0
1994-11-12,1365.2,0.2
1994-11-13,1365.3,0.2
1994-11-16,1365.1,0.2
1994-11-29,1365,0.4
1994-12-07,1364.6,0.3
1994-12-11,1365.1,0.5
1994-12-16,1364.8,0.2
1994-12-21,1365.1,0
1995-01-04,1365.7,0.2
1995-01-09,1365.3,0
1995-01-14,1365,0
1995-01-18,1364.2,0.2
1995-01-25,1364.9,0.2
1995-02-08,1364,1
1995-02-18,1364.5,0
1995-02-23,1364.8,0
1995-03-15,1365,0.8
1995-03-30,1365.4,0.6
1995-04-12,1364.9,0.1
1995-04-26,1365.4,0.5
1995-04-29,1364.6,0.2
1995-05-03,1365.5,0
1995-05-10,1365,0.4
1995-05-15,1364.9,0.2
1995-06-07,1365.3,0.2
1995-06-09,1365.3,0
1995-06-13,1365.2,0.3
1995-06-21,1364.7,0.6
1995-07-05,1364.4,0.8
1995-07-09,1364.6,0
1995-07-12,1364.9,0.2
1995-07-19,1364.8,0
1995-08-07,1365.2,0.1
1995-08-16,1365.8,0.3
1995-08-20,1365,0.6
1995-08-23,1365.1,0.6
1995-08-30,1365.1,0.4
1995-09-13,1364.7,0.3
1995-09-23,1365,0.3
1995-09-27,1364.8,0.6
1995-10-11,1364.8,0.4
1995-10-25,1365.8,0.3
1995-10-28,1365.8,0.1
1995-10-31,1365.2,0.5
1995-11-12,1364.8,0.5
1995-11-25,1364.9,0.4
1995-12-07,1365.2,0.2
1995-12-12,1364.6,0.7
1995-12-20,1364.8,0.5
1996-01-03,1364.9,0.6
1996-01-06,1365.2,0.1
1996-01-12,1364.6,0
1996-01-17,1364.9,0
1996-01-22,1364.9,0.3
1996-02-04,1365.5,0.5
1996-02-15,1365.5,0.4
1996-02-20,1365.4,0.2
1996-02-28,1364.9,0.3
1996-03-21,1365.9,0.2
1996-03-27,1364.7,0.4
1996-04-10,1365.1,0.4
1996-04-24,1365.1,0.2
1996-04-30,1365.3,0.3
1996-05-08,1365,0.2
1996-05-10,1364.5,0.3
1996-05-23,1364.5,0.1
1996-05-24,1364.7,0.3
1996-06-05,1365.5,0.2
1996-06-09,1364.8,0
1996-06-19,1364.7,0.2
1996-07-03,1364.7,0.3
1996-07-08,1364.4,0.2
1996-07-17,1364.8,0.2
1996-07-21,1364.6,0.2
1996-08-03,1364.6,0.3
1996-08-14,1365.3,0.2
1996-08-28,1364.6,0.2
1996-09-11,1365,0.2
1996-09-18,1364.4,0.2
1996-09-22,1364.8,0.2
1996-09-25,1365,0.2
1996-10-09,1364.8,0.1
1996-10-23,1366,0.2
